"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"January 18, 2019","Amazon Customer","-","-","Cards falling apart","It looked new but the cards were mostly tore up. It was a Christmas present so by the time it got used I was unable to return","2","-","-","https://www.amazon.com/gp/customer-reviews/R3JICSPZ2RWQQC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"February 8, 2017","E.S","-","-","Don't believe the hype!","This game is Just o.k.  Definitely did not live up to all the hype.","2","-","-","https://www.amazon.com/gp/customer-reviews/R1TME4HAQW5870/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"July 6, 2016","M. Siefken","-","-","Fun, but","I don't get what the hype is all about. I didn't giggle as much as I anticipated. Fun, but... Meh.","2","-","-","https://www.amazon.com/gp/customer-reviews/R19G2Z2QCK39KF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"September 17, 2015","amanda","-","-","This set is boring. And some reviews say not authentic","Played many times at bars with friends and remembered the cards being more out there and raunchy. This set is boring. And some reviews say not authentic?","2","-","-","https://www.amazon.com/gp/customer-reviews/RZFI797TX9501/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"October 2, 2017","Erekle","-","yes","Under average for non Americans/Brits","Nice party game, but card contents are mainly based on American/British Culture and unless you are too familiar with that you spend half the game time on Google. Even after you are confused whether other players (especially Card Czar) gets your point and you miss some opportunities to match cards. Despite there are 250 cards in a deck, after playing 3 or 4 times it becomes boring. Overall 4 stars for Americans/Brits, 2 stars for foreigners.","2","-","-","https://www.amazon.com/gp/customer-reviews/R3IGZ35AHUCSZF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"August 2, 2017","jack of many trades","-","yes","Could be funnier!","I'm not a prude and really expected this to be hilarious. Some cards were; however the majority, in my opinion, were just plain mean!","2","-","-","https://www.amazon.com/gp/customer-reviews/R1SHQ1453R68E3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"December 13, 2017","Brandon F.","-","yes","It is a fun game, the first two times that it is ...","It is a fun game, the first two times that it is played.  After that, the shock value wears off and it is repetitive and drab.  Much like a boat, it is better to know someone who owns it, than own it yourself.","2","-","-","https://www.amazon.com/gp/customer-reviews/R1MZ6A2V0YA85B/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"April 3, 2016","Cherish McNamara","-","yes","I really do but it wasn't as much fun as we thought it would be","I get it. I really do but it wasn't as much fun as we thought it would be. We laughed but we've not picked up the game since playing it the first time. Not out favorite.","2","-","-","https://www.amazon.com/gp/customer-reviews/R3PHXZO60NGINN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"February 15, 2019","M. Ogleari","-","-","It's alright, gets super old","This is the kind of game that's cool and interesting the first few times you play it, but gets very dull once you've seen most of the cards. The expansions attempt to keep it new and fresh, but there are so many other party games I recommend over this one. I guess it's fun to play with people who have never played it, so you can see their reactions to the cards. But that's about it.","2","-","-","https://www.amazon.com/gp/customer-reviews/R1EVVB028A2ZBY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"June 28, 2016","M. Athar","-","yes","Two Stars","It relies on shock humor, but gets old after a few hours of playing","2","-","-","https://www.amazon.com/gp/customer-reviews/R3FLL1FJKYFRY2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
